class,dwell time
dark,0.29999999999999999
bright,0.89999999999999991
dark,0.15000000000000013
bright,0.099999999999999867
dark,3.25
bright,0.34999999999999964
dark,2.25
bright,0.29999999999999982
dark,0.35000000000000053
bright,0.49999999999999911
dark,2.0500000000000007
bright,0.099999999999999645
dark,1.5500000000000007
bright,0.40000000000000036
dark,4.8499999999999979
bright,0.20000000000000284
dark,0.29999999999999716
bright,0.45000000000000284
dark,4.6999999999999993
bright,0.099999999999997868
dark,22.649999999999999
bright,0.10000000000000142
dark,1.5500000000000043
bright,0.34999999999999432
dark,2.9500000000000028
bright,0.29999999999999716
dark,1.8000000000000043
bright,0.14999999999999858
dark,1.4500000000000028
bright,0.049999999999997158
dark,10000.0
